Chaco,Independencia,183,0.19
Chaco,Libertad,81,0.04
Chaco,Libertador General San Martin,414,0.15
Chaco,Maipu,182,0.14
Chaco,Mayor Luis J. Fontana,428,0.14
Chaco,O'Higgins,161,0.14
Chaco,Presidencia de la Plaza,91,0.15
Chaco,Quitilipi,279,0.12
Chaco,San Fernando,2973,0.07
Chaco,San Lorenzo,111,0.15
Chaco,Sargento Cabral,114,0.12
Chaco,Tapenaga,25,0.08
Chubut,Biedma,602,0.06
Chubut,Cushamen,132,0.11
Chubut,Escalante,1348,0.07
Chubut,Florentino Ameghino,8,0.25
Chubut,Futaleufu,333,0.07
Chubut,Gaiman,88,0.10
Chubut,Gastre,8,0.25
Chubut,Languineo,22,0.18
Chubut,Martires,4,0.25
Chubut,Paso de los Indios,15,0.07
Chubut,Rawson,971,0.07
Chubut,Rio Senguer,52,0.12
Chubut,Sarmiento,77,0.05
Chubut,Tehuelches,41,0.10
Chubut,Telsen,12,0.17
Entre Rios,Colon,446,0.06
Entre Rios,Concordia,1293,0.09
Entre Rios,Diamante,360,0.05
Entre Rios,Federacion,501,0.11
Entre Rios,Federal,169,0.12
Entre Rios,Feliciano,114,0.19
Entre Rios,Gualeguay,392,0.09
Entre Rios,Gualeguaychu,830,0.07
Entre Rios,Islas del Ibicuy,91,0.14
Entre Rios,La Paz,488,0.08
Entre Rios,Nogoya,309,0.08
Entre Rios,Parana,2506,0.06
Entre Rios,San Salvador,133,0.08
Entre Rios,Tala,202,0.06
Entre Rios,Uruguay,763,0.06
Entre Rios,Victoria,260,0.08
Entre Rios,Villaguay,353,0.07
Formosa,Bermejo,85,0.13
Formosa,Formosa,1681,0.07
Formosa,Laishi,141,0.17
Formosa,Matacos,99,0.12
Formosa,Patino,509,0.12
Formosa,Pilagas,146,0.10
Formosa,Pilcomayo,654,0.09
Formosa,Pirane,503,0.10
Formosa,Ramon Lista,104,0.29
Jujuy,Cochinoca,74,0.12
Jujuy,Dr. Manuel Belgrano,2031,0.06
Jujuy,El Carmen,739,0.12
Jujuy,Humahuaca,128,0.09
Jujuy,Ledesma,631,0.07
Jujuy,Palpala,378,0.07
Jujuy,Rinconada,7,0.43
Jujuy,San Antonio,42,0.00
Jujuy,San Pedro,526,0.07
Jujuy,Santa Barbara,147,0.13
Jujuy,Santa Catalina,19,0.11
Jujuy,Susques,31,0.10
Jujuy,Tilcara,94,0.10
Jujuy,Tumbaya,31,0.16
Jujuy,Valle Grande,24,0.17
Jujuy,Yavi,141,0.10
La Pampa,Atreuco,80,0.09
La Pampa,Caleu Caleu,14,0.07
La Pampa,Capital,765,0.05
La Pampa,Catrilo,59,0.08
La Pampa,Chalileo,27,0.19
La Pampa,Chapaleufu,91,0.07
La Pampa,Chical Co,10,0.20
La Pampa,Conhelo,111,0.05
La Pampa,Curaco,7,0.14
La Pampa,Guatrache,52,0.06
La Pampa,Hucal,53,0.06
La Pampa,Lihuel Calel,2,0.00
La Pampa,Limay Mahuida,6,0.33
La Pampa,Loventue,52,0.04
La Pampa,Maraco,455,0.07
La Pampa,Puelen,73,0.05
La Pampa,Quemu Quemu,52,0.12
La Pampa,Rancul,87,0.09
La Pampa,Realico,115,0.06
La Pampa,Toay,80,0.05
La Pampa,Trenel,51,0.02
La Pampa,Utracan,112,0.06
La Rioja,Arauco,98,0.06
La Rioja,Capital,1373,0.07
La Rioja,Castro Barros,35,0.06
La Rioja,Chamical,97,0.13
La Rioja,Chilecito,382,0.05
La Rioja,Coronel Felipe Varela,65,0.06
La Rioja,Famatina,40,0.07
La Rioja,General Angel V. Penaloza,19,0.00
La Rioja,General Belgrano,54,0.09
La Rioja,General Juan F.Quiroga,18,0.17
La Rioja,General Lamadrid,12,0.08
La Rioja,General Ocampo,47,0.04
La Rioja,General San Martin,37,0.05
La Rioja,Independencia,15,0.13
La Rioja,Rosario Vera Penaloza,109,0.08
La Rioja,San Blas de los Sauces,28,0.11
La Rioja,Sanagasta,17,0.06
La Rioja,Vinchina,24,0.12
Mendoza,Capital,793,0.06
Mendoza,General Alvear,338,0.07
Mendoza,Godoy Cruz,1426,0.05
